yago:Ashok_Kumar_Garg	Ashok Kumar Garg	Ashok Kumar Garg (born 7 July 1969) is an Indian wrestler.	<label>
yago:Ashok_Kumar_Garg	7 July 1969	Ashok Kumar Garg (born 7 July 1969) is an Indian wrestler.	<birthDate>
yago:Below_Utopia	Below Utopia	Below Utopia, also known as Body Count, is a 1997 independent film directed by Kurt Voss.	<label>
yago:Below_Utopia	Body Count	Below Utopia, also known as Body Count, is a 1997 independent film directed by Kurt Voss.	<label>
yago:Below_Utopia	1997	Below Utopia, also known as Body Count, is a 1997 independent film directed by Kurt Voss.	<dateCreated>
yago:Below_Utopia	Kurt Voss	Below Utopia, also known as Body Count, is a 1997 independent film directed by Kurt Voss.	<director>
yago:Below_Utopia	Justin Theroux	The movie stars Justin Theroux, Alyssa Milano and Ice-T.	<actor>
yago:Below_Utopia	Alyssa Milano	The movie stars Justin Theroux, Alyssa Milano and Ice-T.	<actor>
yago:The_Hollies	Hollies	The Hollies are a British rock group best known for their distinctive three- part vocal harmony style.	<label>
yago:The_Hollies	Hollies	The Hollies became one of the leading British groups of the 1960s and into the mid 1970s.	<label>
yago:The_Hollies	1962	The band was formed by Allan Clarke and Graham Nash in 1962 as a Merseybeat-type music group in Manchester, although some of the band members came from towns further north in East Lancashire.	<dateCreated>
yago:The_Hollies	Manchester	The band was formed by Allan Clarke and Graham Nash in 1962 as a Merseybeat-type music group in Manchester, although some of the band members came from towns further north in East Lancashire.	<locationCreated>
yago:The_Hollies	Hollies	The Hollies had over 30 charting singles on the UK Singles Chart and 22 on the Billboard Hot 100.	<label>
yago:The_Hollies	Hollies	The Hollies are one of the few UK groups of the early 1960s, along with the Rolling Stones, that have never disbanded and continue to record and perform.	<label>
yago:The_Hollies	Hollies	In recognition of their achievements, the Hollies were inducted into the Rock and Roll Hall of Fame in 2010.The	<label>
yago:Iron_Cross__u0028_Burmese_band_u0029_	Iron Cross	Iron Cross (; abbreviated as IC) is a rock band in Myanmar formed by lead guitarist Saw Bwe Hmu.	<label>
yago:Iron_Cross__u0028_Burmese_band_u0029_	IC	Iron Cross (; abbreviated as IC) is a rock band in Myanmar formed by lead guitarist Saw Bwe Hmu.	<label>
yago:Iron_Cross__u0028_Burmese_band_u0029_	Myanmar	Iron Cross (; abbreviated as IC) is a rock band in Myanmar formed by lead guitarist Saw Bwe Hmu.	<locationCreated>
yago:Iron_Cross__u0028_Burmese_band_u0029_	Iron Cross	Iron Cross played too many studio albums of Myanmar's singers.	<label>
yago:Iron_Cross__u0028_Burmese_band_u0029_	Myanmar	Iron Cross played too many studio albums of Myanmar's singers.	<locationCreated>
yago:Iron_Cross__u0028_Burmese_band_u0029_	IC	"However, Lay Phyu, Myo Gyi, Ah Nge and Y WineYangonlife, ""YWine is spelt in the band's official ad."" are long time relationships with IC who also as part with them."	<label>
